id;text;toxicity_score;profanity_score;contains_profanity;category;correct_response;comprehension_vulnerable;comprehension_insult
0;He's a nightmare for the environment and climate change;42,47;13,68;n;not_toxic;Approve;n;n
1; Delete lawyer, hit a hobby, get a gym?;36,81;11,91;n;not_toxic;Approve;n;n
2;"Sure, PM me if you're single. Why the heck not? It would be a pretty funny ""how we met"" story";31,39;43,65;n;not_toxic;Approve;n;n
3; This is hilarious and sad.;29,05;8,04;n;not_toxic;Approve;n;n
4;Marshmallows being disgusting is entirely a point of taste.  I happen to love them;28,97;27,59;n;not_toxic;Approve;n;n
5; Quick! We need a giant spliff!;27,13;7,96;n;not_toxic;Approve;n;n
6; At no time have I engaged in a personal attack, though your threats here could certainly be construed as one.  In addition, your recent vandalism and edit warring in the Fred Singer article violates those mentioned policies, as well as WP:NPOV and is a clear attempt to create a Coat Rack article.  If you continue to ignore policy and abuse your administrator status, I will seek arbitration.  ;26,59;12,63;n;not_toxic;Approve;n;n
7; Then invest that money into one hell of a lemonade stand, hire somebody to oversee production, and parlay it into a national chain;22,99;14,07;n;not_toxic;Approve;n;n
8; I'm not sexist, but I cannot picture Thor being anything else then the character HE is now.;20,45;14,06;n;not_toxic;Approve;n;n
9;It seems to me lots of well-educated Muslims get hired and get jobs in Europe, the U.S.A. and in Canada.;20,08;10,83;n;not_toxic;Approve;y;n
10; Could buy some pop tarts, too;16,09;16,92;n;not_toxic;Approve;n;n
11;So basically we should all be eating mushrooms.;15,68;8,23;n;not_toxic;Approve;n;n
12;Honestly, who would pester someone that they don't know well enough to know if they have an alcohol problem to drink? This situation has never come up for me ever. ;14,73;2,87;n;not_toxic;Approve;n;n
13; too many clothes to choose from;13,21;3,22;n;not_toxic;Approve;n;n
14; You should be able to save from here… right click or hold down on them and you should get a save option.;12,18;5,12;n;not_toxic;Approve;n;n
15;Let's just agree to disagree in the name of queer unity and nonviolence.;9,76;4,03;n;not_toxic;Approve;y;n
16;FYI this author is extremely conservative/right-wing...;7,97;2,68;n;not_toxic;Approve;n;n
17;In what world does marshmallows melt faster then cream? I work in a cafe and we only serve whipped cream on cold things;7,01;8,48;n;not_toxic;Approve;n;n
18;Actually, I explained nothing.  I asked YOU to think for YOURSELF and answer a question... ;6,97;2,66;n;not_toxic;Approve;n;n
19; Seconding this. Trying to cope with this on your own can cause problems. It's okay to feel overwhelmed and deeply saddened, but getting professional help should be the next step.;5,81;1,5;n;not_toxic;Approve;n;n
20;Do you think if there are more men in education i.e teaching , there would be increase in quality of education in our country?;5,61;1,78;n;not_toxic;Approve;n;n
21; This was the late 90's so maybe the view had shifted a bit;4,85;6,94;n;not_toxic;Approve;n;n
22;There are a lot more reasons for someone not to drink other than alcoholism, and plenty of them are private or personal choices;4,85;9,08;n;not_toxic;Approve;n;n
