id;text;annotator_1;annotator_2;toxicity_score;profanity_score;contains_profanity;category;correct_response;comprehension_vulnerable;comprehension_insult
0;He's a nightmare for the environment and climate change;Approve;Approve;41,52;13,68;n;not_toxic;Approve;n;n
1; Delete lawyer, hit a hobby, get a gym?;Approve;Approve;36,94;11,91;n;not_toxic;Approve;n;n
2;"Sure, PM me if you're single. Why the heck not? It would be a pretty funny ""how we met"" story";Approve;Approve;31,24;43,65;n;not_toxic;Approve;n;n
3; This is hilarious and sad.;Approve;Approve;29,07;8,04;n;not_toxic;Approve;n;n
4;Marshmallows being disgusting is entirely a point of taste.  I happen to love them;Approve;Approve;28,97;27,59;n;not_toxic;Approve;n;n
5; Quick! We need a giant spliff!;Approve;Approve;27,05;7,96;n;not_toxic;Approve;n;n
6; At no time have I engaged in a personal attack, though your threats here could certainly be construed as one.  In addition, your recent vandalism and edit warring in the Fred Singer article violates those mentioned policies. If you continue to ignore policy and abuse your administrator status, I will seek arbitration.  ;Approve;Approve;27,13;11,5;n;not_toxic;Approve;n;n
7; Then invest that money into one hell of a lemonade stand, hire somebody to oversee production, and parlay it into a national chain;Approve;Approve;23,1;14,07;n;not_toxic;Approve;n;n
8; I'm not sexist, but I cannot picture Thor being anything else then the character HE is now.;Approve;Reject;20,3;14,06;n;not_toxic;Approve;n;n
9;It seems to me lots of well-educated Muslims get hired and get jobs in Europe, the U.S.A. and in Canada.;Approve;Approve;20,08;10,83;n;not_toxic;Approve;y;n
10; Could buy some pop tarts, too;Approve;Approve;15,86;16,92;n;not_toxic;Approve;n;n
11;So basically we should all be eating mushrooms.;Approve;Approve;11,28;3,72;n;not_toxic;Approve;n;n
12;Honestly, who would pester someone that they don't know well enough to know if they have an alcohol problem to drink? This situation has never come up for me ever. ;Approve;Approve;14,87;2,87;n;not_toxic;Approve;n;n
13; too many clothes to choose from;Approve;Approve;13,3;3,22;n;not_toxic;Approve;n;n
14; You should be able to save from here;Approve;Approve;9,17;23,34;n;not_toxic;Approve;n;n
15;Let's just agree to disagree in the name of queer unity and nonviolence.;Approve;Approve;9,49;4,03;n;not_toxic;Approve;y;n
16;FYI this author is extremely conservative/right-wing...;Approve;Approve;7,93;2,68;n;not_toxic;Approve;n;n
17;In what world does marshmallows melt faster then cream? I work in a cafe and we only serve whipped cream on cold things;Approve;Approve;6,93;8,48;n;not_toxic;Approve;n;n
18;Actually, I explained nothing.  I asked YOU to think for YOURSELF and answer a question... ;Approve;Approve;5,02;2,56;n;not_toxic;Approve;n;n
19; Seconding this. Trying to cope with this on your own can cause problems. It's okay to feel overwhelmed and deeply saddened, but getting professional help should be the next step.;Approve;Approve;5,77;1,5;n;not_toxic;Approve;n;n
20;Do you think if there are more men in education i.e teaching , there would be increase in quality of education in our country?;Approve;Approve;5,57;1,78;n;not_toxic;Approve;n;n
21; This was the late 90's so maybe the view had shifted a bit;Approve;Approve;4,89;6,94;n;not_toxic;Approve;n;n
22;There are a lot more reasons for someone not to drink other than alcoholism, and plenty of them are private or personal choices;Approve;Approve;4,78;9,08;n;not_toxic;Approve;n;n
23;Yes unpaid internships are exploitative in nature, people should be paid at lest minimum wage to enable them to sustain themselves;Approve;Approve;4,61;11;n;not_toxic;Approve;n;n
24; After a year since I started the anime, I finally caught up with the manga. What will I do with myself now.;Approve;Approve;4,2;3,18;n;not_toxic;Approve;n;n
25;Ok my specific example was an instance where a party needed more emotional support/attention than theyr partner was giving. I wasn't assuming a greedy motive, but I guess if you want to make my example that then sure.;Approve;Approve;4,23;2,24;n;not_toxic;Approve;n;n
26;  Unrelated to Highlander.  I also prefer Fletch Lives over the first for same reason as GB 2.  Funnier, bottom line.;Approve;Approve;3,93;3,87;n;not_toxic;Approve;n;n
27;Can you give us some examples of the food?;Approve;Approve;2,17;3;n;not_toxic;Approve;n;n
28;How do you judge what is considered emotional or physical abuse?;Approve;Approve;3,69;1,92;n;not_toxic;Approve;n;n
29;I'm sure it's not only me, but I feel any time I start to collect enough money to feel safe, life finds a way to take it back;Approve;Approve;2,86;6,48;n;not_toxic;Approve;n;n
30; My hometown desperately needs some entertainment for the younger population that isnt movies/bowling/after school sports.;Approve;Approve;3,6;1,72;n;not_toxic;Approve;n;n
31;Wow, what a great ideal. All we need to do now to start planting those money trees and everything will be okay.;Approve;Approve;2,86;4,25;n;not_toxic;Approve;n;n
32;Do you view all addiction as a choice?;Approve;Approve;2,76;1,54;n;not_toxic;Approve;n;n
33;Happy days are here again.;Approve;Approve;2,33;1,96;n;not_toxic;Approve;n;n
34;Sadly, what has to matter for the justice system is what can be proven.;Approve;Approve;2,41;1,28;n;not_toxic;Approve;n;n
35;" Nicki explains the complexities of catwalk modelling: ""You have to place one foot in front of the other"". #MKR";Approve;Approve;2,33;3,94;n;not_toxic;Approve;n;n
36;I'd like to see this scientific research, I'm rather sceptical;Approve;Approve;2,29;9,98;n;not_toxic;Approve;n;n
37;People who live healthy lives live longer, consume more in their life, consume more healthcare and still die of expensive conditions at end of life and need family and financial assistance;Approve;Approve;2,29;7,56;n;not_toxic;Approve;n;n
38;"The PM said he had a plan; he delivered: quelle surprise!";Approve;Approve;2,19;1,44;n;not_toxic;Approve;n;n
39;Some people need to create and open source Uber-like app. Hopefully it will catch on and we'll see how much the people who run Uber really like the 'sharing' economy.;Approve;Approve;1,97;0,67;n;not_toxic;Approve;n;n
40;Well, on a personal level, my family has a history of heart disease but no history of liver problems. ;Approve;Approve;1,65;2,76;n;not_toxic;Approve;n;n
41; Awesome series, hope it continues. Needs a better name IMO;Approve;Approve;1,62;1,17;n;not_toxic;Approve;n;n
42;Unpaid internships are basically volunteering and so would be almost impossible to distinguish between the two in a court of law.;Approve;Approve;1,19;1,24;n;not_toxic;Approve;n;n
43;I feel like my basic view was explained in the initial description? ;Approve;Approve;1,11;1,31;n;not_toxic;Approve;n;n
44;Thank you, Lysiane. A much needed explanation.;Approve;Approve;0,57;1,14;n;not_toxic;Approve;n;n
45;"Also that kind of ""nice guy"" behavior is really gross, being nice and friendly to someone just because you want to fuck them. Instead of having these ulterior motives, just be honest and get it over with.";Approve;Approve;77,4;93,69;y;toxic;Approve;n;n
46;Fucking quality content. Really great to hear some eloquent discussion on this topic. Can't say I was able to contextualise all the American sports references but was interesting nonetheless. ;Approve;Approve;70,08;96,01;y;toxic;Approve;n;n
47;Just delete his posts and ignore him - don't be tendentious and ad homin - are all part of the wiki lawyers bullshit bible.;Approve;Approve;81,29;94,21;y;toxic;Approve;n;n
48;I mean, I get all the vaccinations I can (I literally got two more yesterday) and I *do* have ADHD, but I'd rather have that than get a preventable disease that could fuckin *KILL ME* and harm the people I love.;Approve;Approve;58,11;94,63;y;not_toxic;Approve;n;n
49;well, fuck. I googled it to get you an answer and it was more than one country this has happened in. I think this particular case is the Serbian one though.;Approve;Approve;73,82;94,33;y;toxic;Approve;n;n
50;Damn. This has to be a record. That was a ridiculous game. Haha. ;Approve;Approve;70,08;93,69;y;toxic;Approve;n;n
51;Right on man I appreciate it. I don't really care if I am blocked. I got 6 neighbors with wifi. That guy is really being a dick though!! Humility man!! That's whats important!! I'll see you around! Cheers!! ;Approve;Approve;58,19;89,69;y;not_toxic;Approve;n;n
52;Broke ass but at least we get to live.;Approve;Approve;83,02;91,13;y;toxic;Approve;n;n
53;Fuck. I started watching it even though you warned me. I stopped watching after the first few seconds because it already spoiled too much for me. I'm trying so hard not to watch anything but the release date is ages away :(;Approve;Approve;73,45;94,78;y;toxic;Approve;n;n
54;Trump has the power to make that happen. Do you see him fucking enforcing the law against these bad cops and jailers who raped and drugged children on his fucking watch? No, he's picking fights with fucking LeBron James on Twitter.;Approve;Approve;74,65;90,67;y;toxic;Approve;n;n
55;"I know John F. Kennedy, but everytime I read ""JFK"", my mind goes to ""Jesus Fucking Khrist"". It's not even right, I don't know why it happens.";Approve;Approve;65,02;95,58;y;toxic;Approve;n;n
56;Too many people belive that crap.;Approve;Approve;79,7;90,67;y;toxic;Approve;n;n
57;I guess the old saying holds true. In the land of fools the biggest fool is king.;Approve;Approve;73,03;62,22;n;toxic;Approve;n;n
58;"Ok, ya I did that twice in the last few days, it takes more than someone calling me a ""faggot ass queer"" to upset me. The best would be if users gave 1 warning to the vandals and then they were blocked right away. Thanks for the help!";Approve;Approve;61,83;89,09;y;toxic;Approve;y;n
59;I really couldn't give a rat's arse.;Approve;Approve;66,63;91,13;y;toxic;Approve;n;n
60;I think you'd have to step in front of me, trap me where I am, and aggressively make out with someone while making eye contact with me for me to feel like you're pushing your sexuality in my face. Otherwise, you're just a person doing person shit.;Approve;Approve;87,64;92,11;y;toxic;Approve;n;n
61;Ok fuck this judge. I read another thread about this case and all the comments were anecdotal stories about slutty opportunistic tween girls. It's just real fucking simple you don't  have sex with them and you don't pay for sex with them. ;Approve;Approve;89,6;92,68;y;toxic;Approve;y;n
62;OK OK. I am sorry for behaving like a idiot. I undertake  that I will not indulge in any sort of behiovour that is unacceptable for wikipedia's members. Hope you will forgive me.;Approve;Approve;45,2;69,38;y;not_toxic;Approve;n;n
63;Just an opinion Wow, after reading all this crap it is clear to me that Sea Shepherd is a violent, racist and illegal criminal organisation that should be dismantled as soon as possible. My heart goes out to the Japanese victims of these bastards. ;Approve;Approve;82,02;82,43;n;toxic;Approve;n;n
64;This is absolute rubbish, I have been discussing these edits at length on the discussion page, please read it before making these ridiculous accusations! ;Approve;Approve;60,85;62,21;n;toxic;Approve;n;n
65;HATE FOOD EATING CONTEST  THIS IS THE MOST DISGUSTING FORM OF PASSE TIME EVER.  IT TURN ME OFF;Approve;Approve;55,36;62,14;n;not_toxic;Approve;n;n
66;Make up your mind TABTABTAB Look, you either want me to delete it or you don't, make up your god damn mind. You said you wanted me to delete it, didn't you? ;Approve;Approve;59,59;93,55;y;not_toxic;Approve;n;n
67;"This is more reasonable than ""being gay is a sin"" but still pretty lame.";Approve;Approve;63,58;59,99;n;toxic;Approve;y;n
68;in gay porn magazines;Approve;Approve;41,52;82,47;n;not_toxic;Approve;y;n
69;Hey , mind your own friggin' business, would ya?;Approve;Approve;49,45;87,44;y;not_toxic;Approve;n;n
70;"You cant have loyal happy workers if you treat and pay em like shit. They will just leave.  They will only leave if they have somewhere better to go and the resources to get there. And it also assumes that you need ""workers"" at all. Robots don't complain.";Approve;Approve;62,37;88,68;y;toxic;Approve;n;n
71;God this is so cursed. Thank you for the laugh.;Approve;Approve;46,29;84,22;n;not_toxic;Approve;n;n
72;If you think I am an idiot, it is okay, I hear this a lot.;Approve;Approve;58,11;86,12;y;not_toxic;Approve;n;n
73;Porn is a beautiful thing with beautiful people. I support sex workers 100%.;Approve;Approve;41,52;75,32;n;not_toxic;Approve;y;n
74;I've never ever met someone gay who who even came close to pushing his sexuality in my face....;Approve;Approve;55,36;50,9;n;not_toxic;Approve;y;n
75;"It's not a sin to be gay in Catholicism. It's a sin to have sex out of wedlock and a sin to have sex when it's not for the purpose of procreation. You can be gay in Catholicism, so long as you don't have sex or to have sexual thoughts; the latter applies to straight people also. ";Approve;Approve;44,81;34,15;n;not_toxic;Approve;y;n
76;Hope to see more of this format and I hope more owners step forward. ALL GLORY TO ALPHADRAFT!;Approve;Approve;3,41;5,09;n;not_toxic;Approve;n;n
77;"I noticed that most posts here don't have TL;DR so thanks for that!";Approve;Approve;4,17;3,11;n;not_toxic;Approve;n;n
78;This article SUCKS. It may be poorly written, poorly formatted, or full of pointless information that no one cares about, and probably all of the above.  If it can be rewritten into something less horrible, please, for the love of God, do so.;Approve;Approve;79,7;80,28;n;toxic;Approve;n;n
79;"Maybe the people here have been too polite to tell you, but you are a complete fucking crank.  Claiming that you have Asperger syndrome without an official diagnosis is insulting to those who actually have the condition. Your ""Aspie-Quiz"" is total bullshit. I think you're 100% moron.";Reject;Reject;88,91;95,46;y;toxic;Reject;n;y
80;STOP EDITING DUMBASS! ;Reject;Reject;83,93;86,23;y;toxic;Reject;n;y
81;CRAPPY nick cage movies and obsesive compulsive wikipedia editors ur a douch get a life;Reject;Reject;78,17;88,95;y;toxic;Reject;n;y
82;hamburger radio is a fucing F@ggot;Reject;Reject;88,91;92,64;y;toxic;Reject;y;y
83;You call put the link to the official website of a Firefox addon spam.  I mean only a retard (and maby not even a retard) would be so stupid.;Reject;Reject;81,34;78,36;y;toxic;Reject;n;y
84;jezz - you people are really starting to look stupid now;Reject;Reject;87,64;76,99;y;toxic;Reject;n;y
